,1A,2A,3A,1B,2B,3B,1C,2C,3C
163,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,219.51106854436037,999.0
164,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,220.5434142159893,999.0
165,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,221.57589789716454,999.0
166,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,222.60851543371598,999.0
167,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,223.64126274748634,999.0
168,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,224.67413584386085,999.0
169,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,225.70713079202488,999.0
170,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,226.74024376702206,999.0
171,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,227.77347098359755,999.0
172,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,228.80680875900592,999.0
173,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,229.84025346812166,999.0
174,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,230.87380153980163,999.0
175,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,231.907449503407,999.0
176,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,232.94119395838146,999.0
177,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,233.97503152346872,999.0
178,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,235.0089589192725,999.0
179,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,236.04297291123075,999.0
180,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,237.07707033803248,999.0
181,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,238.11124808734107,999.0
182,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,239.14550310387045,999.0
183,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,240.1798324130216,999.0
184,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,241.21423306030317,999.0
185,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,242.24870215449835,999.0
186,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,243.28323689017353,999.0
187,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,244.31783446997966,999.0
188,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,245.35249217133793,999.0
189,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,246.38720731954908,999.0
190,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,247.42197729454855,999.0
191,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,248.45679950559952,999.0
192,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,249.4916713763963,999.0
193,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,250.52659049274052,999.0
194,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,251.56155439364278,999.0
195,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,252.59656064344745,999.0
196,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,253.63160690814115,999.0
197,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,254.66669088674286,999.0
198,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,255.70181028859835,999.0
199,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,256.7369628900531,999.0
200,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,257.77214649487894,999.0
201,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,258.8073589526817,999.0
202,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,259.8425981570296,999.0
203,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,260.87786201731524,999.0
204,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,261.9131485096779,999.0
205,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,262.9484556053557,999.0
206,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,263.9837813640361,999.0
207,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,265.01912385090645,999.0
208,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,266.05448113717875,999.0
209,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,267.08985138888573,999.0
210,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,268.1252327645148,999.0
211,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,269.16062345529053,999.0
212,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,270.1960217008261,999.0
213,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,271.23142576957025,999.0
214,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,272.26683394705975,999.0
215,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,273.3022445528866,999.0
216,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,274.33765594336273,999.0
217,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,275.3730664964634,999.0
218,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,276.40847465445506,999.0
219,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,277.4438788143995,999.0
220,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,278.47927746271864,999.0
221,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,279.5146690976042,999.0
222,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,280.5500522199775,999.0
223,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,281.5854253990499,999.0
224,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,282.62078720000716,999.0
225,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,283.65613620890707,999.0
226,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,284.6914710636561,999.0
227,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,285.72679039243025,999.0
228,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,286.7620928998962,999.0
229,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,287.7973772462716,999.0
230,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,288.83264216596285,999.0
231,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,289.86788640340103,999.0
232,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,290.90310867682524,999.0
233,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,291.9383078839138,999.0
234,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,292.9734827303242,999.0
235,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,294.0086320705921,999.0
236,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,295.0437547595379,999.0
237,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,296.07884967683265,999.0
238,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,297.11391570116746,999.0
239,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,298.1489517586325,999.0
240,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,299.18395677739454,999.0
241,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,300.21892970090653,999.0
242,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,301.2538695102555,999.0
243,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,302.2887751887654,999.0
244,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,303.32364574856393,999.0
245,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,304.35848021667925,999.0
246,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,305.3932776514647,999.0
247,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,306.4280370920966,999.0
